New Mexico,new-mexico
St. Francis NY,st-francis-ny
Austin Peay,austin-peay
Georgia Southern,ga-southern
Duke,duke
Fordham,fordham
Wichita St.,wichita-st
Stanford,stanford
Xavier,xavier
North Dakota St.,north-dakota-st
North Florida,north-florida
Indiana,indiana
Canisius,canisius
Alcorn St.,alcorn-st
Louisiana Monroe,la-monroe
IUPUI,iupui
Navy,navy
Vanderbilt,vanderbilt
Radford,radford
Air Force,air-force
IUPU Fort Wayne,ipfw
Lehigh,lehigh
Kennesaw St.,kennesaw-st
George Mason,george-mason
Butler,butler
Purdue,purdue
Western Carolina,western-caro
Rider,rider
Bryant,bryant
Saint Joseph's,st-josephs
Sam Houston St.,sam-houston-st
Baylor,baylor
Long Beach St.,long-beach-st
New Hampshire,new-hampshire
Loyola Marymount,loyola-marymount
Fresno St.,fresno-st
Kentucky,kentucky
Cal Poly,cal-poly
Virginia Commonwealth,vcu
Memphis,memphis
Nicholls St.,nicholls-st
Ohio,ohio
Central Arkansas,central-ark
Kansas St.,kansas-st
Davidson,davidson
North Carolina A&T,nc-at
Monmouth,monmouth
Cal St. Northridge,cal-st-northridge
The Citadel,citadel
Portland,portland
Houston Baptist,houston-baptist
Cornell,cornell
Southern Illinois,southern-ill
Southern Utah,southern-utah
Hofstra,hofstra
Stony Brook,stony-brook
Morehead St.,morehead-st
Robert Morris,robert-morris
Notre Dame,notre-dame
Illinois,illinois
Miami FL,miami-fl
Miami OH,miami-oh
Northwestern St.,northwestern-st
Chicago St.,chicago-st
UC Santa Barbara,uc-santa-barbara
Western Kentucky,western-ky
Georgetown,georgetown
Eastern Michigan,eastern-mich
Florida A&M,florida-am
Chattanooga,chattanooga
Troy,troy
Wyoming,wyoming
Montana St.,montana-st
Seattle,seattle
Bradley,bradley
Wright St.,wright-st
Virginia Military Inst,vmi
UC Irvine,uc-irvine
Alabama A&M,alabama-am
Lipscomb,lipscomb
Northern Colorado,northern-colo
East Carolina,east-carolina
Grambling,grambling
Alabama St.,alabama-st
Evansville,evansville
Louisiana Tech,louisiana-tech
Sacred Heart,sacred-heart
Mississippi St.,mississippi-st
Louisville,louisville
Long Island,long-island
Vermont,vermont
Indiana St.,indiana-st
UAB,uab
Charlotte,charlotte
West Virginia,west-virginia
Maryland Eastern Shore,md-east-shore
Pacific,pacific
Tennessee St.,tennessee-st
Harvard,harvard
Kansas,kansas
Albany,albany-ny
Prairie View A&M,prairie-view
Valparaiso,valparaiso
Iona,iona
Tulane,tulane
Northeastern,northeastern
Maryland,maryland
Temple,temple
Fairleigh Dickinson,fairleigh-dickinson
Creighton,creighton
Coppin St.,coppin-st
Duquesne,duquesne
Northwestern,northwestern
Iowa,iowa
American,american
Manhattan,manhattan
Oakland,oakland
Pittsburgh,pittsburgh
Penn St.,penn-st
Rutgers,rutgers
McNeese St.,mcneese-st
Tennessee Tech,tennessee-tech
Western Michigan,western-mich
Arizona,arizona
Middle Tennessee,middle-tenn
Youngstown St.,youngstown-st
Oklahoma St.,oklahoma-st
Central Florida,ucf
Rhode Island,rhode-island
Arkansas Pine Bluff,ark-pine-bluff
Oral Roberts,oral-roberts
Presbyterian,presbyterian
Texas Arlington,texas-arlington
Mercer,mercer
Louisiana Lafayette,la-lafayette
Cal St. Bakersfield,cal-st-bakersfield
Nebraska Omaha,neb-omaha
Colorado,colorado
Dartmouth,dartmouth
Murray St.,murray-st
Southern,southern-u
Michigan,michigan
High Point,high-point
Delaware St.,delaware-st
Georgia St.,georgia-st
Arkansas St.,arkansas-st
Oregon,oregon
Savannah St.,savannah-st
Boise St.,boise-st
Idaho,idaho
Cal St. Fullerton,cal-st-fullerton
Michigan St.,michigan-st
Loyola Chicago,loyola-il
St. Mary's,st-marys-ca
Southern Mississippi,southern-miss
NJ Inst of Technology,njit
North Carolina Central,nc-central
Boston University,boston-u
Texas Christian,tcu
MD Baltimore County,umbc
Northern Iowa,uni
Missouri Kansas City,umkc
Texas El Paso,utep
Nevada Las Vegas,unlv
Loyola MD,loyola-maryland
Northern Illinois,northern-ill
Southern Methodist,smu
Louisiana St.,lsu
Arkansas Little Rock,ualr
